Manuscript Number,Current Status
PONE-D-15-15731,Completed Reject
PONE-D-15-15735,Completed Reject
PONE-D-15-15747R1,Completed Accept
PONE-D-15-15756,Completed Reject
PONE-D-15-15760R1,Completed Accept
PONE-D-15-15763R1,Completed Accept
PONE-D-15-15767,Completed Reject
PONE-D-15-15771,Completed Withdrawn
PONE-D-15-15778,Completed Reject
PONE-D-15-15786,Completed Withdrawn
PONE-D-15-15788R1,Completed Accept
PONE-D-15-15807,Completed Reject
PONE-D-15-15814,Completed Reject
PONE-D-15-15817,Completed Reject
PONE-D-15-15819,Completed Reject
PONE-D-15-15820R1,Completed Accept
PONE-D-15-15826,Completed Withdrawn
PONE-D-15-15830,Completed Reject
PONE-D-15-15835R1,Completed Accept
PONE-D-15-15842R1,Completed Accept
PONE-D-15-15847R2,Completed Accept
PONE-D-15-15856R2,Completed Reject
PONE-D-15-15861,Completed Reject
PONE-D-15-15863,Completed Reject
PONE-D-15-15865,Completed Reject
PONE-D-15-15866,Completed Reject
PONE-D-15-15886,Completed Reject
PONE-D-15-15890,Completed Reject
PONE-D-15-15904R2,Completed Accept
PONE-D-15-15908R1,Completed Accept
PONE-D-15-15916,Completed Reject
PONE-D-15-15920R1,Completed Accept
PONE-D-15-15937,Completed Reject
PONE-D-15-15939,Completed Reject
PONE-D-15-15940R2,Completed Accept
PONE-D-15-15941,Completed Reject
PONE-D-15-15944,Completed Withdrawn
PONE-D-15-15947,Completed Reject
PONE-D-15-15951R1,Completed Accept
PONE-D-15-15963R3,Completed Accept
PONE-D-15-15970R2,Completed Accept
PONE-D-15-15982R1,Completed Accept
PONE-D-15-16002,Completed Withdrawn
PONE-D-15-16010R1,Completed Accept
PONE-D-15-16021R2,Completed Accept
PONE-D-15-16026,Completed Reject
PONE-D-15-16031R1,Completed Reject
PONE-D-15-16048R2,Completed Accept
PONE-D-15-16055,Completed Reject
PONE-D-15-16063,Completed Withdrawn
PONE-D-15-16065,Completed Reject
PONE-D-15-16068R1,Revised Manuscript Submitted
PONE-D-15-16073,Completed Reject
PONE-D-15-16083R1,Completed Accept
PONE-D-15-16084R3,Completed Accept
PONE-D-15-16085,Completed Reject
PONE-D-15-16090,Completed Reject
PONE-D-15-16094,Completed Withdrawn
PONE-D-15-16096R2,Completed Accept
PONE-D-15-16098R2,Completed Accept
PONE-D-15-16099,Completed Reject
PONE-D-15-16103,Completed Reject
PONE-D-15-16104,Completed Reject
PONE-D-15-16111,Completed Reject
PONE-D-15-16112,Completed Reject
PONE-D-15-16114R4,Completed Accept
PONE-D-15-16122R2,Completed Accept
PONE-D-15-16153,Completed Withdrawn
PONE-D-15-16157,Completed Reject
PONE-D-15-16165,Completed Reject
PONE-D-15-16166R1,Completed Accept
PONE-D-15-16168,Completed Reject
PONE-D-15-16179,Completed Reject
PONE-D-15-16204R1,Completed Accept
PONE-D-15-16207,Completed Withdrawn
PONE-D-15-16223R1,Completed Accept
PONE-D-15-16227R1,Completed Accept
PONE-D-15-16235R2,Completed Accept
PONE-D-15-16236R1,Completed Accept
PONE-D-15-16249R1,Completed Accept
PONE-D-15-16258R1,Completed Accept
PONE-D-15-16263,Completed Reject
PONE-D-15-16264,Completed Reject
PONE-D-15-16265R1,Completed Accept
PONE-D-15-16273,Completed Reject
PONE-D-15-16274,Completed Reject
PONE-D-15-16277R1,Completed Accept
PONE-D-15-16281R1,Completed Accept
PONE-D-15-16300R1,Completed Accept
PONE-D-15-16303,Completed Reject
PONE-D-15-16331,Completed Withdrawn
PONE-D-15-16346,Completed Reject
PONE-D-15-16364R2,Completed Reject
PONE-D-15-16365,Completed Reject
PONE-D-15-16382R1,Completed Accept
PONE-D-15-16383,Completed Reject
PONE-D-15-16388,Completed Reject
PONE-D-15-16393R2,Completed Accept
PONE-D-15-16395R1,Completed Accept
PONE-D-15-16416,Completed Withdrawn
PONE-D-15-16419,Completed Reject
PONE-D-15-16423R1,Completed Accept
PONE-D-15-16428R1,Completed Accept
PONE-D-15-16443,Completed Reject
PONE-D-15-16455R2,Completed Accept
PONE-D-15-16456,Completed Reject
PONE-D-15-16460,Completed Reject
PONE-D-15-16461R2,Completed Accept
PONE-D-15-16462R3,Completed Accept
PONE-D-15-16470R2,Completed Accept
PONE-D-15-16472R1,Completed Accept
PONE-D-15-16487,Completed Reject
PONE-D-15-16491,Completed Reject
PONE-D-15-16497,Completed Reject
PONE-D-15-16502R2,Completed Accept
PONE-D-15-16508R1,Completed Accept
PONE-D-15-16514R2,Completed Accept
PONE-D-15-16518R2,Completed Accept
PONE-D-15-16519,Completed Reject
PONE-D-15-16528R1,Completed Accept
PONE-D-15-16541R1,Completed Reject
PONE-D-15-16572,Completed Reject
PONE-D-15-16580R1,Completed Reject
PONE-D-15-16590R1,Completed Accept
PONE-D-15-16599R2,Completed Reject
PONE-D-15-16601R1,Completed Withdrawn
PONE-D-15-16608R2,Completed Accept
PONE-D-15-16620,Completed Reject
PONE-D-15-16624R2,Completed Accept
PONE-D-15-16626,Completed Withdrawn
PONE-D-15-16643R2,Completed Accept
PONE-D-15-16652,Completed Reject
PONE-D-15-16659,Completed Reject
PONE-D-15-16662R1,Completed Accept
PONE-D-15-16668R2,Completed Accept
PONE-D-15-16669,Completed Reject
PONE-D-15-16678R1,Completed Withdrawn
PONE-D-15-16679R2,Completed Accept
PONE-D-15-16705,Completed Reject
PONE-D-15-16709,Completed Reject
PONE-D-15-16711R1,Completed Accept
PONE-D-15-16722,Completed Reject
PONE-D-15-16729R4,Completed Accept
PONE-D-15-16743,Completed Withdrawn
PONE-D-15-16748,Completed Reject
PONE-D-15-16760R2,Completed Accept
PONE-D-15-16761R1,Completed Accept
PONE-D-15-16762,Completed Reject
PONE-D-15-16779,Completed Reject
PONE-D-15-16787R1,Completed Accept
PONE-D-15-16799,Completed Reject
PONE-D-15-16801R1,Completed Accept
PONE-D-15-16835,Completed Reject
PONE-D-15-16857,Completed Reject
PONE-D-15-16863R2,Completed Accept
PONE-D-15-16874R1,Completed Accept
PONE-D-15-16880,Completed Reject
PONE-D-15-16882,Completed Reject
PONE-D-15-16884R1,Completed Accept
PONE-D-15-16891R1,Completed Accept
PONE-D-15-16905R1,Completed Accept
PONE-D-15-16907R1,Completed Reject
PONE-D-15-16916,Completed Reject
PONE-D-15-16925,Completed Reject
PONE-D-15-16929,Completed Withdrawn
PONE-D-15-16931,Completed Reject
PONE-D-15-16960R1,Completed Accept
PONE-D-15-16966,Completed Reject
PONE-D-15-16970R2,Completed Accept
PONE-D-15-16976,Completed Reject
PONE-D-15-16977R1,Completed Accept
PONE-D-15-16979R1,Completed Accept
PONE-D-15-16980R2,Completed Accept
PONE-D-15-16990,Completed Reject
PONE-D-15-16992R2,Completed Accept
PONE-D-15-16999,Completed Withdrawn
PONE-D-15-17005,Completed Reject
PONE-D-15-17015R1,Completed Accept
PONE-D-15-17018R1,Completed Accept
PONE-D-15-17022,Completed Reject
PONE-D-15-17031,Completed Reject
PONE-D-15-17038,Completed Reject
PONE-D-15-17059R5,Completed Accept
PONE-D-15-17082,Completed Reject
PONE-D-15-17084,Completed Reject
PONE-D-15-17103R1,Completed Accept
PONE-D-15-17120R1,Completed Accept
PONE-D-15-17124,Completed Reject
PONE-D-15-17130,Completed Reject
PONE-D-15-17137,Completed Reject
PONE-D-15-17141R2,Completed Accept
PONE-D-15-17145R1,Completed Accept
PONE-D-15-17149R1,Completed Accept
PONE-D-15-17152R2,Completed Accept
PONE-D-15-17162,Completed Reject
PONE-D-15-17170R1,Completed Accept
PONE-D-15-17172,Completed Withdrawn
PONE-D-15-17173R2,Accept
PONE-D-15-17185,Completed Reject
PONE-D-15-17187R1,Completed Accept
PONE-D-15-17195,Completed Reject
PONE-D-15-17202,Completed Reject
PONE-D-15-17205,Completed Withdrawn
PONE-D-15-17215R2,Completed Accept
PONE-D-15-17216,Completed Reject
PONE-D-15-17222,Completed Withdrawn
PONE-D-15-17228R1,Completed Accept
PONE-D-15-17230R1,Completed Reject
PONE-D-15-17232,Completed Reject
PONE-D-15-17236R2,Completed Accept
PONE-D-15-17244,Completed Reject
PONE-D-15-17266R1,Completed Accept
PONE-D-15-17269,Completed Reject
PONE-D-15-17276,Completed Withdrawn
PONE-D-15-17286,Completed Reject
PONE-D-15-17293R1,Completed Accept
PONE-D-15-17298,Completed Reject
PONE-D-15-17302,Completed Reject
PONE-D-15-17315R3,Completed Accept
PONE-D-15-17316R1,Completed Accept
PONE-D-15-17325,Completed Reject
PONE-D-15-17347R1,Completed Accept
PONE-D-15-17354,Completed Withdrawn
PONE-D-15-17357,Completed Reject
PONE-D-15-17375,Completed Reject
PONE-D-15-17397R1,Completed Accept
PONE-D-15-17441,Completed Reject
PONE-D-15-17446R1,Completed Accept
PONE-D-15-17447R1,Completed Reject
PONE-D-15-17449,Completed Reject
PONE-D-15-17459,Completed Accept
PONE-D-15-17461,Completed Reject
PONE-D-15-17467R1,Completed Accept
PONE-D-15-17479,Completed Reject
PONE-D-15-17500R1,Completed Accept
PONE-D-15-17501,Completed Withdrawn
PONE-D-15-17518,Completed Withdrawn
PONE-D-15-17519,Completed Reject
PONE-D-15-17526R1,Completed Accept
PONE-D-15-17533R1,Revise
PONE-D-15-17538,Completed Withdrawn
PONE-D-15-17539R1,Completed Accept
PONE-D-15-17540R3,Completed Accept
PONE-D-15-17542,Completed Reject
PONE-D-15-17549R2,Completed Accept
PONE-D-15-17550,Completed Withdrawn
PONE-D-15-17555,Completed Reject
PONE-D-15-17556R2,Completed Accept
PONE-D-15-17560,Completed Reject
PONE-D-15-17562,Completed Reject
PONE-D-15-17564,Completed Reject
PONE-D-15-17566R2,Completed Accept
PONE-D-15-17568,Completed Withdrawn
PONE-D-15-17580R3,Completed Accept
PONE-D-15-17602,Completed Withdrawn
PONE-D-15-17605R2,Completed Accept
PONE-D-15-17620R1,Completed Accept
PONE-D-15-17632R2,Completed Accept
PONE-D-15-17641,Completed Reject
PONE-D-15-17662R2,Completed Accept
PONE-D-15-17667R1,Completed Reject
PONE-D-15-17673,Completed Reject
PONE-D-15-17674R3,Completed Accept
PONE-D-15-17710R1,Completed Withdrawn
PONE-D-15-17716R1,Completed Accept
PONE-D-15-17734,Completed Accept
PONE-D-15-17741R1,Completed Accept
PONE-D-15-17743R1,Completed Accept
PONE-D-15-17747R1,Completed Accept
PONE-D-15-17749,Completed Reject
PONE-D-15-17753R1,Completed Reject
PONE-D-15-17756R1,Completed Accept
PONE-D-15-17760R3,Completed Accept
PONE-D-15-17770,Completed Reject
PONE-D-15-17773R1,Completed Reject
PONE-D-15-17774R1,Completed Accept
PONE-D-15-17775,Completed Reject
PONE-D-15-17780,Completed Reject
PONE-D-15-17779,Completed Withdrawn
PONE-D-15-17793R2,Completed Accept
PONE-D-15-17801R1,Completed Reject
PONE-D-15-17808R1,Completed Accept
PONE-D-15-17809R2,Completed Accept
PONE-D-15-17819,Completed Reject
PONE-D-15-17840R1,Completed Accept
PONE-D-15-17850R2,Completed Accept
PONE-D-15-17870,Completed Reject
PONE-D-15-17872,Completed Reject
PONE-D-15-17886,Completed Reject
PONE-D-15-17887R1,Completed Accept
PONE-D-15-17894R1,Revise
PONE-D-15-17905R2,Completed Accept
PONE-D-15-17912R1,Completed Accept
PONE-D-15-17931R1,Completed Accept
PONE-D-15-17932,Completed Reject
PONE-D-15-17935R1,Completed Accept
PONE-D-15-17943R1,Completed Accept
PONE-D-15-17950,Completed Withdrawn
PONE-D-15-17970,Completed Reject
PONE-D-15-17975,Completed Reject
PONE-D-15-17984,Completed Withdrawn
PONE-D-15-17998R2,Required Reviews Completed
PONE-D-15-18001R2,Completed Accept
PONE-D-15-18021,Completed Reject
PONE-D-15-18022,Completed Withdrawn
PONE-D-15-18038R1,Completed Reject
PONE-D-15-18042R1,Completed Reject
PONE-D-15-18046R1,Completed Accept
PONE-D-15-18047R1,Completed Reject
PONE-D-15-18049,Completed Reject
PONE-D-15-18057,Completed Reject
PONE-D-15-18058R2,Completed Accept
PONE-D-15-18075R2,Revise
PONE-D-15-18080,Completed Withdrawn
PONE-D-15-18084R1,Completed Accept
PONE-D-15-18095,Completed Reject
PONE-D-15-18108,Completed Reject
PONE-D-15-18126,Completed Reject
PONE-D-15-18150R2,Completed Accept
PONE-D-15-18165,Completed Reject
PONE-D-15-18167,Completed Reject
PONE-D-15-18179,Completed Accept
PONE-D-15-18190R1,Completed Accept
PONE-D-15-18191R2,Completed Accept
PONE-D-15-18200R1,Completed Accept
PONE-D-15-18201R1,Completed Accept
PONE-D-15-18207,Completed Reject
PONE-D-15-18220,Completed Reject
PONE-D-15-18224R2,Completed Accept
PONE-D-15-18236,Completed Reject
PONE-D-15-18237,Completed Reject
PONE-D-15-18245R2,Completed Reject
PONE-D-15-18247R1,Completed Accept
PONE-D-15-18254R1,Completed Accept
PONE-D-15-18255R1,Completed Accept
PONE-D-15-18261R1,Completed Accept
PONE-D-15-18266,Completed Reject
PONE-D-15-18267R1,Completed Accept
PONE-D-15-18269R2,Completed Accept
PONE-D-15-18278,Completed Reject
PONE-D-15-18284,Completed Reject
PONE-D-15-18290,Completed Reject
PONE-D-15-18286R2,Completed Accept
PONE-D-15-18291R1,Completed Accept
PONE-D-15-18295R1,Completed Accept
PONE-D-15-18300,Completed Withdrawn
PONE-D-15-18316,Completed Reject
PONE-D-15-18331,Completed Reject
PONE-D-15-18338,Completed Reject
PONE-D-15-18339R1,Completed Accept
PONE-D-15-18340,Completed Reject
PONE-D-15-18349,Completed Reject
PONE-D-15-18353R1,Completed Accept
PONE-D-15-18363R2,Completed Reject
PONE-D-15-18369R1,Completed Reject
PONE-D-15-18371,Completed Reject
PONE-D-15-18375,Completed Reject
PONE-D-15-18386,Completed Reject
PONE-D-15-18415R2,Under Review
PONE-D-15-18422,Completed Reject
PONE-D-15-18426,Completed Reject
PONE-D-15-18437R3,With Editor
PONE-D-15-18448,Completed Reject
PONE-D-15-18450,Completed Reject
PONE-D-15-18456R3,Completed Accept
PONE-D-15-18460,Completed Reject
PONE-D-15-18464,Completed Reject
PONE-D-15-18465R2,Completed Accept
PONE-D-15-18469R2,Completed Accept
PONE-D-15-18473,Completed Reject
PONE-D-15-18479,Completed Reject
PONE-D-15-18491R1,Revise
PONE-D-15-18492,Completed Reject
PONE-D-15-18494R1,Completed Accept
PONE-D-15-18524,Completed Withdrawn
PONE-D-15-18529,Completed Reject
PONE-D-15-18558,Completed Reject
PONE-D-15-18562R1,Completed Accept
PONE-D-15-18566,Completed Reject
PONE-D-15-18570R1,Completed Accept
PONE-D-15-18571,Completed Reject
PONE-D-15-18575,Completed Reject
PONE-D-15-18587R2,Completed Accept
PONE-D-15-18594R3,Completed Accept
PONE-D-15-18616R2,Completed Accept
PONE-D-15-18630,Completed Reject
PONE-D-15-18634,Completed Reject
PONE-D-15-18635R2,Completed Accept
PONE-D-15-18638R1,Completed Reject
PONE-D-15-18643R2,Completed Accept
PONE-D-15-18647R1,Completed Accept
PONE-D-15-18648R1,Completed Accept
PONE-D-15-18652R2,Completed Accept
PONE-D-15-18654,Completed Withdrawn
PONE-D-15-18658,Completed Withdrawn
PONE-D-15-18662R1,Completed Accept
PONE-D-15-18663,Completed Reject
PONE-D-15-18666R1,Completed Accept
PONE-D-15-18672R2,Completed Accept
PONE-D-15-18674R1,Completed Accept
PONE-D-15-18678R1,Completed Accept
PONE-D-15-18679R1,Completed Accept
PONE-D-15-18683,Completed Withdrawn
PONE-D-15-18702R1,Completed Accept
PONE-D-15-18706,Completed Reject
PONE-D-15-18715,Completed Withdrawn
PONE-D-15-18720R1,Completed Accept
PONE-D-15-18733,Completed Reject
PONE-D-15-18736,Completed Reject
PONE-D-15-18742,Completed Reject
PONE-D-15-18743R1,Completed Accept
PONE-D-15-18744R2,Completed Accept
PONE-D-15-18753,Completed Reject
PONE-D-15-18757,Completed Reject
PONE-D-15-18764R2,Completed Accept
PONE-D-15-18765,Completed Reject
PONE-D-15-18769R1,Completed Accept
PONE-D-15-18783R1,Completed Accept
PONE-D-15-18788,Completed Withdrawn
PONE-D-15-18801R2,Completed Accept
PONE-D-15-18803,Completed Reject
PONE-D-15-18809R2,Completed Accept
PONE-D-15-18816,Completed Reject
PONE-D-15-18818R3,Completed Accept
PONE-D-15-18821,Completed Reject
PONE-D-15-18826,Completed Reject
PONE-D-15-18844,Completed Reject
PONE-D-15-18848R1,Completed Accept
PONE-D-15-18858R3,Completed Accept
PONE-D-15-18864R1,Completed Accept
PONE-D-15-18873R1,Completed Accept
PONE-D-15-18879R1,Completed Accept
PONE-D-15-18889,Completed Reject
PONE-D-15-18893R1,Completed Accept
PONE-D-15-18894,Completed Reject
PONE-D-15-18900R1,Completed Accept
PONE-D-15-18903R1,Completed Accept
PONE-D-15-18907R1,Completed Accept
PONE-D-15-18928,Completed Withdrawn
PONE-D-15-18931,Completed Reject
PONE-D-15-18963R2,Completed Accept
PONE-D-15-18965,Completed Reject
PONE-D-15-18966,Completed Reject
PONE-D-15-18967,Completed Reject
PONE-D-15-18968,Completed Reject
PONE-D-15-18979R2,Completed Accept
PONE-D-15-18980,Completed Reject
PONE-D-15-18995R1,Completed Accept
PONE-D-15-19002R1,Completed Accept
PONE-D-15-19003R2,Completed Accept
PONE-D-15-19013R2,Completed Accept
PONE-D-15-19015,Completed Reject
PONE-D-15-19016R1,Completed Accept
PONE-D-15-19018R2,Completed Accept
PONE-D-15-19025R1,Completed Reject
PONE-D-15-19039,Completed Reject
PONE-D-15-19042,Completed Reject
PONE-D-15-19050R1,Completed Accept
PONE-D-15-19052R2,Completed Accept
PONE-D-15-19064,Completed Reject
PONE-D-15-19071R2,Completed Accept
PONE-D-15-19075R1,Completed Accept
PONE-D-15-19079,Completed Reject
PONE-D-15-19082R2,Completed Accept
PONE-D-15-19089R2,Completed Accept
PONE-D-15-19096R1,Completed Accept
PONE-D-15-19097,Completed Reject
PONE-D-15-19099R1,Completed Accept
PONE-D-15-19101R1,Completed Accept
PONE-D-15-19110,Completed Reject
PONE-D-15-19137,Completed Reject
PONE-D-15-19141R2,Completed Accept
PONE-D-15-19145,Completed Reject
PONE-D-15-19150,Completed Reject
PONE-D-15-19158,Completed Withdrawn
PONE-D-15-19161,Completed Reject
PONE-D-15-19162R2,Completed Accept
PONE-D-15-19166R3,Under Review
PONE-D-15-19169R2,Completed Accept
PONE-D-15-19193R2,Completed Accept
PONE-D-15-19174,Completed Reject
PONE-D-15-19202R1,Completed Accept
PONE-D-15-19207R2,Completed Accept
PONE-D-15-19213R1,Completed Reject
PONE-D-15-19215R2,Completed Accept
PONE-D-15-19218,Completed Reject
PONE-D-15-19219,Completed Reject
PONE-D-15-19231,Completed Reject
PONE-D-15-19241R1,Completed Accept
PONE-D-15-19242,Completed Withdrawn
PONE-D-15-19244R2,Completed Accept
PONE-D-15-19246R2,Completed Accept
PONE-D-15-19268,Completed Reject
PONE-D-15-19271,Completed Reject
PONE-D-15-19277R3,Completed Accept
PONE-D-15-19279R1,Completed Accept
PONE-D-15-19304R2,Completed Accept
PONE-D-15-19329R3,Completed Accept
PONE-D-15-19334R1,Completed Accept
PONE-D-15-19338R1,Completed Accept
PONE-D-15-19339R1,Completed Accept
PONE-D-15-19345R1,Completed Accept
PONE-D-15-19347,Completed Reject
PONE-D-15-19353R1,Completed Accept
PONE-D-15-19357R1,Completed Accept
PONE-D-15-19360R1,Revise
PONE-D-15-19368R2,Completed Accept
PONE-D-15-19381R1,Completed Accept
PONE-D-15-19392R1,Completed Accept
PONE-D-15-19395R2,Completed Accept
PONE-D-15-19403R1,Completed Accept
PONE-D-15-19405R2,Completed Accept
PONE-D-15-19414,Completed Reject
PONE-D-15-19426R2,Completed Accept
PONE-D-15-19458,Completed Withdrawn
PONE-D-15-19466,Completed Withdrawn
PONE-D-15-19472R1,Completed Accept
PONE-D-15-19475R2,Completed Accept
PONE-D-15-19479,Completed Reject
PONE-D-15-19482R1,Completed Accept
PONE-D-15-19483,Completed Reject
PONE-D-15-19492,Completed Reject
PONE-D-15-19499R1,Completed Accept
PONE-D-15-19502R3,Completed Accept
PONE-D-15-19506R1,Completed Accept
PONE-D-15-19509R1,Completed Accept
PONE-D-15-19512R2,Completed Accept
PONE-D-15-19516,Completed Reject
PONE-D-15-19534,Completed Accept
PONE-D-15-19535R2,Completed Accept
PONE-D-15-19536,Completed Reject
PONE-D-15-19544,Completed Reject
PONE-D-15-19549,Completed Reject
PONE-D-15-19551R2,Completed Accept
PONE-D-15-19554,Completed Reject
PONE-D-15-19559,Completed Reject
PONE-D-15-19563,Completed Reject
PONE-D-15-19570R1,Completed Accept
PONE-D-15-19571,Completed Reject
PONE-D-15-19575,Completed Reject
PONE-D-15-19586R1,Completed Reject
PONE-D-15-19587R2,Completed Accept
PONE-D-15-19594,Completed Reject
PONE-D-15-19602,Completed Reject
PONE-D-15-19613,Completed Withdrawn
PONE-D-15-19622,Completed Reject
PONE-D-15-19623,Completed Reject
PONE-D-15-19627,Completed Reject
PONE-D-15-19633,Completed Reject
PONE-D-15-19642,Completed Reject
PONE-D-15-19646,Completed Reject
PONE-D-15-19657R2,Completed Accept
PONE-D-15-19667R2,Completed Accept
PONE-D-15-19661,Completed Reject
PONE-D-15-19683R1,Completed Accept
PONE-D-15-19699,Completed Accept
PONE-D-15-19714R1,Completed Accept
PONE-D-15-19726,Completed Reject
PONE-D-15-19729,Completed Reject
PONE-D-15-19730R1,Completed Accept
PONE-D-15-19741,Completed Accept
PONE-D-15-19743R1,Completed Accept
PONE-D-15-19757R1,Completed Accept
PONE-D-15-19759R1,Completed Reject
PONE-D-15-19775,Completed Reject
PONE-D-15-19788R1,Completed Accept
PONE-D-15-19789R1,Completed Accept
PONE-D-15-19791,Completed Reject
PONE-D-15-19804,Completed Reject
PONE-D-15-19813,Completed Reject
PONE-D-15-19814R2,Completed Accept
PONE-D-15-19824,Completed Reject
PONE-D-15-19829,Completed Reject
PONE-D-15-19833,Completed Reject
PONE-D-15-19836R2,Completed Reject
PONE-D-15-19840R4,Completed Accept
PONE-D-15-19843,Completed Reject
PONE-D-15-19846,Completed Reject
PONE-D-15-19849R3,Completed Accept
PONE-D-15-19850,Completed Reject
PONE-D-15-19856R1,Completed Accept
PONE-D-15-19861R2,Completed Accept
PONE-D-15-19862R1,Completed Accept
PONE-D-15-19866R1,Completed Reject
PONE-D-15-19867R1,Completed Accept
PONE-D-15-19887R1,Completed Accept
PONE-D-15-19900,Completed Reject
PONE-D-15-19912R1,Completed Reject
PONE-D-15-19924R2,Completed Accept
PONE-D-15-19930,Completed Reject
PONE-D-15-19931R1,Completed Accept
PONE-D-15-19932R2,Completed Accept
PONE-D-15-19936R1,Completed Reject
PONE-D-15-19945R3,Completed Accept
PONE-D-15-19948R2,Completed Accept
PONE-D-15-19965,Completed Withdrawn
PONE-D-15-19968,Completed Withdrawn
PONE-D-15-19985,Completed Reject
PONE-D-15-19986,Completed Reject
PONE-D-15-20007,Completed Reject
PONE-D-15-20010,Completed Reject
PONE-D-15-20012,Completed Reject
PONE-D-15-20015,Completed Accept
PONE-D-15-20016R1,Completed Accept
PONE-D-15-20021,Completed Reject
PONE-D-15-20023R1,Completed Accept
PONE-D-15-20039,Completed Reject
PONE-D-15-20041,Completed Reject
PONE-D-15-20047R2,Completed Withdrawn
PONE-D-15-20048,Completed Reject
PONE-D-15-20049,Completed Withdrawn
PONE-D-15-20056R1,Completed Accept
PONE-D-15-20057,Completed Reject
PONE-D-15-20059R1,Completed Accept
PONE-D-15-20063R1,Completed Accept
PONE-D-15-20069R2,Completed Accept
PONE-D-15-20072,Completed Withdrawn
PONE-D-15-20076R1,Completed Accept
PONE-D-15-20095,Completed Reject
PONE-D-15-20102R2,Completed Accept
PONE-D-15-20106R1,Completed Accept
PONE-D-15-20108,Completed Reject
PONE-D-15-20111R1,Completed Accept
PONE-D-15-20122R3,Completed Accept
PONE-D-15-20127R1,Revise
PONE-D-15-20140,Completed Reject
PONE-D-15-20142,Completed Reject
PONE-D-15-20144R1,Completed Accept
PONE-D-15-20148,Completed Withdrawn
PONE-D-15-20160,Completed Reject
PONE-D-15-20171,Completed Reject
PONE-D-15-20179,Completed Reject
PONE-D-15-20182R1,Completed Accept
PONE-D-15-20184,Completed Reject
PONE-D-15-20191,Completed Reject
PONE-D-15-20207,Completed Reject
PONE-D-15-20215,Completed Reject
PONE-D-15-20244R1,Completed Accept
PONE-D-15-20246,Completed Reject
PONE-D-15-20248R1,Completed Accept
PONE-D-15-20259R1,Completed Accept
PONE-D-15-20262,Completed Reject
PONE-D-15-20266,Completed Reject
PONE-D-15-20268,Completed Reject
PONE-D-15-20272R2,Completed Accept
PONE-D-15-20277,Completed Withdrawn
PONE-D-15-20282R2,Completed Accept
PONE-D-15-20290R1,Completed Reject
PONE-D-15-20296,Completed Withdrawn
PONE-D-15-20308R2,Completed Accept
PONE-D-15-20310,Completed Reject
PONE-D-15-20311,Completed Reject
PONE-D-15-20315R1,Completed Accept
PONE-D-15-20329,Completed Reject
PONE-D-15-20338,Completed Reject
PONE-D-15-20339R1,Completed Accept
PONE-D-15-20341R1,Completed Accept
PONE-D-15-20347,Completed Withdrawn
PONE-D-15-20350,Completed Reject
PONE-D-15-20365,Completed Reject
PONE-D-15-20371R1,Completed Accept
PONE-D-15-20390R1,Completed Accept
PONE-D-15-20395,Completed Reject
PONE-D-15-20398R2,Completed Accept
PONE-D-15-20400R2,Completed Accept
PONE-D-15-20408,Completed Reject
PONE-D-15-20412R1,Completed Accept
PONE-D-15-20414R1,Incomplete
PONE-D-15-20417,Completed Reject
PONE-D-15-20422R1,Completed Accept
PONE-D-15-20425R1,Completed Accept
PONE-D-15-20431R2,Completed Accept
PONE-D-15-20436R2,Completed Accept
PONE-D-15-20439R1,Completed Accept
PONE-D-15-20458R2,Completed Accept
PONE-D-15-20463R1,Completed Accept
PONE-D-15-20467,Completed Withdrawn
PONE-D-15-20471R1,Completed Accept
PONE-D-15-20474R1,Completed Accept
PONE-D-15-20478R2,Completed Accept
PONE-D-15-20511,Completed Reject
PONE-D-15-20534R1,Completed Accept
PONE-D-15-20547,Completed Reject
PONE-D-15-20554R2,Completed Accept
PONE-D-15-20558,Completed Reject
PONE-D-15-20560R1,Completed Accept
PONE-D-15-20567,Completed Reject
PONE-D-15-20572,Completed Reject
PONE-D-15-20574R1,Completed Accept
PONE-D-15-20590,Completed Withdrawn
PONE-D-15-20591R1,Completed Accept
PONE-D-15-20592R1,Completed Reject
PONE-D-15-20595,Completed Reject
PONE-D-15-20600R1,Completed Withdrawn
PONE-D-15-20608,Completed Reject
PONE-D-15-20610,Completed Reject
PONE-D-15-20614R2,Completed Accept
PONE-D-15-20617,Completed Reject
PONE-D-15-20618R1,Completed Withdrawn
PONE-D-15-20628R1,Completed Accept
PONE-D-15-20630,Completed Reject
PONE-D-15-20637R1,Completed Accept
PONE-D-15-20638R1,Completed Accept
PONE-D-15-20642,Completed Reject
PONE-D-15-20645R1,Completed Accept
PONE-D-15-20649,Completed Reject
PONE-D-15-20657R1,Completed Accept
PONE-D-15-20658R1,Completed Accept
PONE-D-15-20668R1,Completed Accept
PONE-D-15-20672,Completed Withdrawn
PONE-D-15-20683,Completed Reject
PONE-D-15-20686R1,Completed Accept
PONE-D-15-20692,Completed Reject
PONE-D-15-20694R1,Completed Accept
PONE-D-15-20701,Completed Reject
PONE-D-15-20702,Completed Reject
PONE-D-15-20712,Completed Reject
PONE-D-15-20722,Completed Reject
PONE-D-15-20729,Completed Withdrawn
PONE-D-15-20731,Completed Reject
PONE-D-15-20737R1,Completed Accept
PONE-D-15-20745R1,Completed Withdrawn
PONE-D-15-20749R1,Completed Accept
PONE-D-15-20753,Completed Reject
PONE-D-15-20754R1,Completed Accept
PONE-D-15-20756R2,Completed Accept
