Manuscript Number,Current Status
PONE-D-15-12312,Completed Reject
PONE-D-15-12314R1,Completed Withdrawn
PONE-D-15-12315R1,Completed Accept
PONE-D-15-12316R1,Completed Accept
PONE-D-15-12330R2,Completed Accept
PONE-D-15-12352,Completed Withdrawn
PONE-D-15-12357,Completed Reject
PONE-D-15-12369R1,Completed Accept
PONE-D-15-12361R3,Under Review
PONE-D-15-12372,Completed Withdrawn
PONE-D-15-12386,Completed Reject
PONE-D-15-12391R1,Completed Accept
PONE-D-15-12415,Completed Withdrawn
PONE-D-15-12417,Completed Withdrawn
PONE-D-15-12419,Completed Withdrawn
PONE-D-15-12422,Completed Reject
PONE-D-15-12433R1,Completed Accept
PONE-D-15-12438R1,Completed Withdrawn
PONE-D-15-12445,Completed Reject
PONE-D-15-12446,Completed Reject
PONE-D-15-12452R1,Completed Accept
PONE-D-15-12466R1,Completed Accept
PONE-D-15-12489,Completed Withdrawn
PONE-D-15-12491R2,Completed Accept
PONE-D-15-12499,Completed Reject
PONE-D-15-12516,Completed Reject
PONE-D-15-12518R1,Completed Accept
PONE-D-15-12521R1,Completed Accept
PONE-D-15-12524,Completed Reject
PONE-D-15-12535,Completed Reject
PONE-D-15-12553,Completed Reject
PONE-D-15-12556,Completed Reject
PONE-D-15-12567,Completed Accept
PONE-D-15-12572R2,Completed Accept
PONE-D-15-12584R2,Completed Accept
PONE-D-15-12591R1,Completed Accept
PONE-D-15-12601,Completed Reject
PONE-D-15-12603,Completed Withdrawn
PONE-D-15-12605,Completed Reject
PONE-D-15-12615R1,Completed Accept
PONE-D-15-12643R1,Completed Accept
PONE-D-15-12662R1,Completed Accept
PONE-D-15-12668,Completed Reject
PONE-D-15-12671,Completed Reject
PONE-D-15-12683R1,Completed Reject
PONE-D-15-12686,Completed Reject
PONE-D-15-12693,Completed Reject
PONE-D-15-12708R1,Completed Accept
PONE-D-15-12715R2,Completed Accept
PONE-D-15-12717R2,Completed Accept
PONE-D-15-12718,Completed Reject
PONE-D-15-12724,Completed Reject
PONE-D-15-12729R1,Completed Accept
PONE-D-15-12735,Completed Reject
PONE-D-15-12749,Completed Reject
PONE-D-15-12751R1,Completed Accept
PONE-D-15-12754,Completed Reject
PONE-D-15-12760,Completed Reject
PONE-D-15-12761R2,Completed Reject
PONE-D-15-12766R1,Completed Accept
PONE-D-15-12768,Completed Withdrawn
PONE-D-15-12778,Completed Reject
PONE-D-15-12787,Completed Reject
PONE-D-15-12794,Completed Withdrawn
PONE-D-15-12796R2,Completed Accept
PONE-D-15-12798R1,Completed Accept
PONE-D-15-12800R1,Completed Accept
PONE-D-15-12811,Completed Withdrawn
PONE-D-15-12818R2,Completed Accept
PONE-D-15-12822R3,Completed Accept
PONE-D-15-12824,Completed Reject
PONE-D-15-12837,Completed Reject
PONE-D-15-12838,Completed Reject
PONE-D-15-12846R1,Completed Accept
PONE-D-15-12856,Completed Withdrawn
PONE-D-15-12862R2,Completed Accept
PONE-D-15-12868R1,Completed Reject
PONE-D-15-12871,Completed Reject
PONE-D-15-12874R1,Completed Accept
PONE-D-15-12876,Completed Reject
PONE-D-15-12886R1,Completed Accept
PONE-D-15-12894,Completed Reject
PONE-D-15-12901R4,Completed Accept
PONE-D-15-12903R1,Completed Accept
PONE-D-15-12910,Completed Reject
PONE-D-15-12929,Completed Reject
PONE-D-15-12930R2,Completed Accept
PONE-D-15-12937,Completed Reject
PONE-D-15-12938,Completed Reject
PONE-D-15-12939,Completed Reject
PONE-D-15-12944R1,Completed Accept
PONE-D-15-12947,Completed Withdrawn
PONE-D-15-12953R1,Completed Accept
PONE-D-15-12966R2,Completed Accept
PONE-D-15-12969,Completed Withdrawn
PONE-D-15-12982R3,Completed Accept
PONE-D-15-12985R2,Completed Accept
PONE-D-15-13000R1,Completed Accept
PONE-D-15-13009R2,Completed Accept
PONE-D-15-13010R1,Completed Accept
PONE-D-15-13012,Completed Withdrawn
PONE-D-15-13015R1,Completed Accept
PONE-D-15-13020R1,Completed Accept
PONE-D-15-13025R1,Completed Accept
PONE-D-15-13040,Completed Reject
PONE-D-15-13048R1,Completed Withdrawn
PONE-D-15-13053,Completed Reject
PONE-D-15-13054R1,Completed Reject
PONE-D-15-13055,Completed Accept
PONE-D-15-13065,Completed Reject
PONE-D-15-13072,Completed Reject
PONE-D-15-13075R1,Completed Accept
PONE-D-15-13083R1,Completed Accept
PONE-D-15-13092R1,Completed Accept
PONE-D-15-13095R1,Completed Accept
PONE-D-15-13109R1,Completed Reject
PONE-D-15-13110,Completed Reject
PONE-D-15-13121R2,Completed Accept
PONE-D-15-13132R3,Completed Accept
PONE-D-15-13133,Completed Reject
PONE-D-15-13156,Completed Reject
PONE-D-15-13160R1,Completed Accept
PONE-D-15-13163R1,Completed Accept
PONE-D-15-13167,Completed Reject
PONE-D-15-13170,Completed Reject
PONE-D-15-13178R1,Completed Accept
PONE-D-15-13189,Completed Reject
PONE-D-15-13193,Completed Reject
PONE-D-15-13194R2,Completed Accept
PONE-D-15-13205,Completed Reject
PONE-D-15-13216R1,Completed Reject
PONE-D-15-13228R1,Completed Accept
PONE-D-15-13229,Completed Withdrawn
PONE-D-15-13232R2,Completed Accept
PONE-D-15-13235R1,Completed Reject
PONE-D-15-13238R2,Completed Accept
PONE-D-15-13254R2,Completed Accept
PONE-D-15-13255R2,Completed Accept
PONE-D-15-13258R2,Completed Accept
PONE-D-15-13263R1,Completed Accept
PONE-D-15-13264,Completed Reject
PONE-D-15-13267,Completed Reject
PONE-D-15-13275,Completed Reject
PONE-D-15-13281,Completed Reject
PONE-D-15-13282R1,Completed Accept
PONE-D-15-13287,Completed Reject
PONE-D-15-13290R1,Completed Accept
PONE-D-15-13292R3,Completed Reject
PONE-D-15-13304R2,Completed Accept
PONE-D-15-13322,Completed Reject
PONE-D-15-13339R1,Completed Accept
PONE-D-15-13341R1,Completed Accept
PONE-D-15-13351,Completed Reject
PONE-D-15-13354,Completed Reject
PONE-D-15-13357,Completed Reject
PONE-D-15-13375R2,Completed Accept
PONE-D-15-13382,Completed Reject
PONE-D-15-13410R2,Completed Accept
PONE-D-15-13414,Completed Withdrawn
PONE-D-15-13419R1,Completed Reject
PONE-D-15-13420,Completed Reject
PONE-D-15-13425R1,Completed Accept
PONE-D-15-13435R1,Completed Accept
PONE-D-15-13445,Completed Reject
PONE-D-15-13468,Completed Reject
PONE-D-15-13469,Completed Reject
